placa,anio_pago,marca,modelo,anio_modelo,pais,ramv,canton,clase,servicio,cilindraje,fecha_caducidad,fecha_ultima,fecha_compra,fecha_matricula,total_pagar
PCO6795,2025,CHEVROLET,GRAND VITARA SPORT AC 1.6 3P 4X4 TM,2015,ECUADOR,-,IBARRA,JEEP,PARTICULAR,1590,30-05-2029,31-05-2024,23-03-2015,25-06-2025,USD $103.94
POG880,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
HBB3623,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PVW806,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBN5253,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PCO5618,2025,SUZUKI,GRAND VITARA SZ NEXT AC 2.0 5P 4X2 TM,2015,ECUADOR,-,IBARRA,JEEP,PARTICULAR,1995,28-02-2029,01-03-2024,20-03-2015,19-11-2025,USD $84.78
AAW0395,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PCD7339,2025,CHEVROLET,SAIL TM 1.4 4P 4X2 AC,2013,ECUADOR,-,QUITO,AUTOMOVIL,ALQUILER,1400,06-05-2028,08-05-2023,28-01-2013,24-10-2025,USD $92.49
PVO0170,2025,CHEVROLET,CHEVYTAXI,2006,COREA DEL SUR,-,CAYAMBE,AUTOMOVIL,PARTICULAR,1500,22-12-2030,23-12-2025,31-03-2006,24-11-2025,USD $75.72
PDR4864,2025,CHEVROLET,ONIX LTZ TURBO AC 1.0 4P 4X2 TM,2021,MEXICO,-,QUITO,AUTOMOVIL,PARTICULAR,1000,09-12-2026,01-05-2023,24-02-2021,01-01-2025,USD $67.11
PUK154,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBR4567,2025,NISSAN,SENTRA 1.6 M/T,2011,MEXICO,-,QUITO,AUTOMOVIL,PARTICULAR,1600,31-08-2030,05-09-2025,27-01-2011,05-09-2025,USD $91.01
PBL5031,2023,CHEVROLET,AVEO EMOTION 1.6L AC,2009,ECUADOR,-,CAYAMBE,AUTOMOVIL,PARTICULAR,1600,21-03-2028,23-03-2023,29-12-2008,23-03-2023,USD $381.88
PAA5763,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBU8444,2024,KIA,SPORTAGE LX AT,2012,ECUADOR,AYM1201665,PLAYAS,JEEP,PARTICULAR,2000,07-05-2028,09-05-2023,13-11-2012,17-01-2024,USD $280.97
PBX1002,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
GBP6947,2025,KIA,RIO EX AC 1.4 4P 4X2 TM,2019,MEXICO,-,GUAYAQUIL,AUTOMOVIL,ALQUILER,1368,07-04-2029,08-04-2024,15-01-2019,29-09-2025,USD $88.56
PCH4925,2025,CHEVROLET,AVEO FAMILY STD 1.5 4P 4X2 TM,2014,ECUADOR,-,QUITO,AUTOMOVIL,ALQUILER,1500,27-08-2029,28-08-2024,31-07-2013,27-06-2025,USD $108.48
PVS082,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBO56611,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBU4958,2025,NISSAN,ALMERA 1.6 MT AIRBAG Y AC,2012,COREA DEL SUR,-,QUITO,AUTOMOVIL,ALQUILER,1600,30-09-2024,30-10-2019,30-07-2011,30-10-2019,USD $110.48
PUD804,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBQ6077,2025,NISSAN,SENTRA 1.6 M/T,2011,MEXICO,-,QUITO,AUTOMOVIL,ALQUILER,1600,31-08-2027,15-08-2022,22-12-2010,31-01-2025,USD $107.98
JV007A,2025,THUNDER,B52,2023,ECUADOR,-,QUITO,MOTOCICLETA,PARTICULAR,150,21-03-2028,23-03-2023,12-02-2023,23-03-2023,USD $68.58
IP018V,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
IW652X,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JI496W,2025,DAYTONA,DY250 CROSSFIRE,2022,CHINA POPULAR,-,ARCHIDONA,MOTOCICLETA,PARTICULAR,250,30-11-2026,01-12-2021,20-10-2021,17-07-2023,USD $63.24
JK071U,2025,AXXO,SCRAMBLER 250,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,250,16-03-2030,17-03-2025,31-10-2021,17-03-2025,USD $62.23
IT429H,2025,SHINERAY,XY200-4,2007,CHINA POPULAR,-,ORELLANA,MOTOCICLETA,PARTICULAR,200,26-10-2030,27-10-2025,29-11-2007,24-07-2025,USD $56.24
IH434P,2018,Z1,CHAMPION 200E,2015,CHINA POPULAR,-,GUAYAQUIL,MOTOCICLETA,PARTICULAR,200,26-11-2020,28-11-2015,17-10-2015,31-05-2018,USD $987.1
IW342L,2026,BULTACO,FREEDOM,2019,CHINA POPULAR,MA122538,GUAYAQUIL,MOTOCICLETA,PARTICULAR,150,03-08-2024,05-08-2019,05-07-2019,11-03-2026,USD $2
JW664E,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JJ915F,2023,THUNDER,TGN 150,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,150,29-09-2026,30-09-2021,06-09-2021,30-09-2021,USD $278.27
JZ223L,2025,DAYTONA,DY200 CRUCERO,2024,CHINA POPULAR,S00142903,QUITO,MOTOCICLETA,PARTICULAR,200,24-11-2029,25-11-2024,18-11-2023,25-11-2024,USD $58.67
JX236P,2023,TUKO,TK-DS1,2023,CHINA POPULAR,-,RUMIÑAHUI,MOTOCICLETA,PARTICULAR,200,21-10-2028,23-10-2023,03-10-2023,23-10-2023,USD $287.04
JT724X,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JQ918F,2025,RANGER,250-4,2023,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,250,13-11-2028,15-11-2023,30-10-2022,15-09-2025,USD $65.27
JE237K,2025,SUZUKI,GSX150C,2020,COLOMBIA,G02465252,RUMIÑAHUI,MOTOCICLETA,PARTICULAR,155,27-11-2027,28-11-2022,27-08-2020,06-08-2025,USD $56.94
JK511H,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JF453N,2021,TUKO,TK CR5-250,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,250,11-02-2026,12-02-2021,24-01-2021,12-02-2021,USD $626.51
HA889H,2025,SUZUKI,DL1000,2008,JAPON,-,MANTA,MOTOCICLETA,PARTICULAR,1000,31-10-2028,11-04-2023,21-11-2008,15-10-2024,USD $64.86
JJ777L,2024,Z1,CBR250 STORM,2021,CHINA POPULAR,-,VINCES,MOTOCICLETA,PARTICULAR,250,15-02-2028,16-02-2023,08-09-2021,16-02-2023,USD $160.28
JR192A,2025,LONCIN,LX250GY-3G,2023,CHINA POPULAR,-,RUMIÑAHUI,MOTOCICLETA,PARTICULAR,250,08-11-2027,09-11-2022,29-09-2022,09-11-2022,USD $89.74
IH001A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
HC826V,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
IC786E,2024,DAYTONA,DY150-DELTA,2015,CHINA POPULAR,-,TOSAGUA,MOTOCICLETA,PARTICULAR,150,31-07-2028,30-10-2023,17-02-2015,05-08-2024,USD $148.21
IG644E,2024,TRIUMPH,SCRAMBLER,2015,REINO UNIDO,-,QUITO,MOTOCICLETA,PARTICULAR,865,23-12-2029,24-12-2024,09-07-2015,11-12-2020,USD $183.43
JE486U,2025,DAYTONA,DY200 ADVENTURE,2019,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,200,18-10-2025,19-10-2020,05-09-2020,19-07-2023,USD $56.31
JP475P,2024,DUKARE,DK150 FALCON,2022,CHINA POPULAR,-,PUERTO QUITO,MOTOCICLETA,PARTICULAR,149,21-02-2028,22-02-2023,29-07-2022,22-04-2024,USD $154.41
JD300U,2024,STIFF,STIFF 250,2020,CHINA POPULAR,-,OTAVALO,MOTOCICLETA,PARTICULAR,250,11-12-2029,12-12-2024,05-10-2020,12-12-2024,USD $149.88
JV033D,2025,SHINERAY,A-VENTURE,2022,CHINA POPULAR,-,OTAVALO,MOTOCICLETA,PARTICULAR,250,22-07-2030,23-07-2025,14-02-2023,23-07-2025,USD $63.46
IH192Y,2023,AXXO,TRACKER 250,2015,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,250,16-09-2025,17-09-2020,30-11-2015,23-03-2023,USD $324.3
IN0575,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
JL241W,2024,SHINERAY,THOR,2022,CHINA POPULAR,-,PUERTO QUITO,MOTOCICLETA,PARTICULAR,200,09-05-2029,10-05-2024,31-01-2022,10-05-2024,USD $202.85
IQ785N,2020,Z1,CAT 150F,2016,CHINA POPULAR,-,LA MANA,MOTOCICLETA,PARTICULAR,150,26-07-2023,27-07-2018,20-06-2018,27-07-2018,USD $654.58
JC260V,2025,DAYTONA,DY150 S1,2021,CHINA POPULAR,-,GUALACEO,MOTOCICLETA,PARTICULAR,150,22-09-2025,23-09-2020,15-09-2020,29-11-2022,USD $56.11
HA258H,2025,SUZUKI,TS125,2008,COLOMBIA,-,SAN VICENTE,MOTOCICLETA,PARTICULAR,125,08-07-2030,09-07-2025,08-02-2008,18-07-2025,USD $56.73
JS700R,2025,THUNDER,BULLET,2023,ECUADOR,-,QUITO,MOTOCICLETA,PARTICULAR,150,19-03-2028,21-03-2023,27-01-2023,21-03-2023,USD $59.19
HX690K,2022,MOTOR UNO,SK200 FX200,2014,CHINA POPULAR,-,QUININDE,MOTOCICLETA,PARTICULAR,200,30-11-2027,16-12-2022,29-04-2014,16-12-2022,USD $381.13
JP177K,2025,IGM,IM170CF-12G,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,170,19-06-2030,20-06-2025,06-05-2022,20-06-2025,USD $56.31
JS244L,2025,DAYTONA,DY250 SCRAMBLER,2022,CHINA POPULAR,-,GENERAL ANTONIO ELIZALDE,MOTOCICLETA,PARTICULAR,250,28-12-2027,29-12-2022,27-12-2022,29-12-2022,USD $73.19
JT818E,2025,THUNDER,F16 250,2023,ECUADOR,-,QUITO,MOTOCICLETA,PARTICULAR,250,10-06-2028,12-06-2023,23-04-2023,11-12-2025,USD $67.32
JM476J,2024,LONCIN,LX250-15,2022,CHINA POPULAR,PR0038313,QUITO,MOTOCICLETA,PARTICULAR,250,28-03-2027,29-03-2022,12-03-2022,17-07-2024,USD $178.91
JP228K,2025,LONCIN,JL200-68C,2022,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,200,31-05-2027,01-06-2022,10-05-2022,23-09-2025,USD $57.32
JQ134D,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
IJ536A,2025,BAJAJ,PULSAR 135 LS,2014,INDIA,-,QUITO,MOTOCICLETA,PARTICULAR,135,31-07-2029,22-10-2024,11-05-2016,02-08-2025,USD $56.88
JZ768L,2025,Z1,PHANTOM 200,2023,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,196,05-12-2028,07-12-2023,25-11-2023,07-12-2023,USD $59.63
JM431K,2025,TUKO,TK CR0,2022,CHINA POPULAR,-,PUCARA,MOTOCICLETA,PARTICULAR,150,10-02-2030,11-02-2025,02-04-2022,12-05-2022,USD $57.07
IO529R,2023,TUKO,TK CR5,2018,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,200,02-03-2023,03-03-2018,13-02-2018,03-03-2018,USD $261.44
HL471X,2025,HONDA,NXR125 BROS ES,2008,BRASIL,-,PEDERNALES,MOTOCICLETA,PARTICULAR,125,28-02-2029,08-02-2024,15-01-2009,08-02-2024,USD $66.96
JM871M,2022,DAYTONA,DY200 WOLF,2022,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,200,17-07-2027,18-07-2022,27-06-2022,18-07-2022,USD $432.47
IG575E,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JU391H,2024,ROYAL ENFIELD,SCRAM 411,2023,INDIA,-,QUITO,MOTOCICLETA,PARTICULAR,411,27-02-2029,29-02-2024,21-04-2023,29-02-2024,USD $216.41
JT250P,2025,CF MOTO,CF250-A,2022,CHINA POPULAR,-,GENERAL ANTONIO ELIZALDE,MOTOCICLETA,PARTICULAR,249,12-06-2028,14-06-2023,09-11-2022,14-06-2023,USD $69.59
JJ237E,2025,DAYTONA,DY180 AGILITY,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,180,26-08-2026,27-08-2021,17-08-2021,24-09-2025,USD $56.15
IO969N,2024,ICS,150S,2015,CHINA POPULAR,ME00002649,RUMIÑAHUI,MOTOCICLETA,PARTICULAR,150,12-05-2029,13-05-2024,04-10-2017,13-05-2024,USD $139.5
JK187H,2025,TUKO,TK-H1,2021,CHINA POPULAR,TH102521,QUITO,MOTOCICLETA,PARTICULAR,150,09-11-2026,10-11-2021,23-10-2021,10-11-2021,USD $56.33
JA512K,2025,DAYTONA,DY250 GP-1,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,250,22-10-2029,23-10-2024,14-05-2021,14-03-2025,USD $62.09
HO294D,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JA955F,2025,GALARDI,GL180BW GIULIETTA,2020,ECUADOR,-,QUITO,MOTOCICLETA,PARTICULAR,169,30-06-2029,01-07-2024,28-01-2020,01-07-2024,USD $56.55
JC524V,2023,BULTACO,FREEDOM,2020,CHINA POPULAR,-,SALCEDO,MOTOCICLETA,PARTICULAR,150,28-06-2025,29-06-2020,10-06-2020,24-02-2023,USD $278.95
PO22308,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
IP980X,2024,SHINERAY,XY200GY-6I,2018,CHINA POPULAR,-,RIOBAMBA,MOTOCICLETA,PARTICULAR,200,19-03-2029,20-03-2024,28-05-2018,20-03-2024,USD $137.62
IC738E,2024,BAJAJ,PULSAR 200 NS,2014,INDIA,-,PEDERNALES,MOTOCICLETA,PARTICULAR,200,05-02-2029,07-02-2024,26-02-2015,07-02-2024,USD $144.2
JU675M,2025,LONCIN,LX250-R2,2024,CHINA POPULAR,PR0046683,AMBATO,MOTOCICLETA,PARTICULAR,250,26-08-2030,27-08-2025,12-04-2023,18-06-2025,USD $68.62
JE409K,2024,AXXO,TRZ250,2020,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,250,10-07-2029,11-07-2024,15-06-2020,11-07-2024,USD $149.29
IT729V,2025,DAYTONA,DY150 S1,2018,CHINA POPULAR,-,SANTO DOMINGO,MOTOCICLETA,PARTICULAR,150,01-10-2030,02-10-2025,08-02-2019,02-10-2025,USD $56.16
JF615R,2025,TUKO,TK-CR3,2021,CHINA POPULAR,-,QUITO,MOTOCICLETA,PARTICULAR,200,20-06-2029,21-06-2024,11-02-2021,01-07-2025,USD $56.56
IA754N,2022,THUNDER,TRX200,2014,CHINA POPULAR,-,CHILLANES,MOTOCICLETA,PARTICULAR,200,16-12-2023,17-12-2018,16-07-2014,03-03-2022,USD $404.82
